date,region,cum_cases,cum_deaths
2020-03-14,Extremadura,108,1
2020-03-15,Extremadura,140,2
2020-03-16,Extremadura,195,4
2020-03-17,Extremadura,250,6
2020-03-18,Extremadura,294,8
2020-03-19,Extremadura,319,11
2020-03-20,Extremadura,379,14
2020-03-21,Extremadura,422,18
2020-03-22,Extremadura,466,24
2020-03-23,Extremadura,683,34
2020-03-24,Extremadura,820,50
2020-03-25,Extremadura,981,61
2020-03-26,Extremadura,1177,76
2020-03-27,Extremadura,1332,97
2020-03-28,Extremadura,1428,114
2020-03-29,Extremadura,1518,130
2020-03-30,Extremadura,1569,153
2020-03-31,Extremadura,1680,170
2020-04-01,Extremadura,1734,189
2020-04-02,Extremadura,1787,209
2020-04-03,Extremadura,1872,226
2020-04-04,Extremadura,1950,237
2020-04-05,Extremadura,1984,251
2020-04-06,Extremadura,2038,269
2020-04-07,Extremadura,2100,279
2020-04-08,Extremadura,2200,292
2020-04-09,Extremadura,2274,308
2020-04-10,Extremadura,2312,321
2020-04-11,Extremadura,2333,328
2020-04-12,Extremadura,2351,339
2020-04-13,Extremadura,2372,349
2020-04-14,Extremadura,2439,357
2020-04-15,Extremadura,2465,368
2020-04-16,Extremadura,2491,375
2020-04-17,Extremadura,2564,379
2020-04-18,Extremadura,2586,386
2020-04-19,Extremadura,2601,392
2020-04-20,Extremadura,2630,399
2020-04-21,Extremadura,2656,406
2020-04-22,Extremadura,2704,412
2020-04-23,Extremadura,2778,414
2020-04-24,Extremadura,2822,425
2020-04-25,Extremadura,2839,431
2020-04-26,Extremadura,2845,438
2020-04-27,Extremadura,2860,444
2020-04-28,Extremadura,2895,448
2020-04-29,Extremadura,2915,455
2020-04-30,Extremadura,2939,457
2020-05-01,Extremadura,2965,459
2020-05-02,Extremadura,2971,461
2020-05-03,Extremadura,2974,461
2020-05-04,Extremadura,2983,461
2020-05-05,Extremadura,2996,467
2020-05-06,Extremadura,3026,472
2020-05-07,Extremadura,3054,476
2020-05-08,Extremadura,3073,480
2020-05-09,Extremadura,3080,483
2020-05-10,Extremadura,3083,483
2020-05-11,Extremadura,3097,486
2020-05-12,Extremadura,3121,491
2020-05-13,Extremadura,3136,492
2020-05-14,Extremadura,3142,493
2020-05-15,Extremadura,3152,494
2020-05-16,Extremadura,3153,494
2020-05-17,Extremadura,3154,496
2020-05-18,Extremadura,3158,501
2020-05-19,Extremadura,3161,502
2020-05-20,Extremadura,3165,503
2020-05-21,Extremadura,3169,504
2020-05-22,Extremadura,3174,504
2020-05-23,Extremadura,3174,504
2020-05-24,Extremadura,3175,505
2020-05-25,Extremadura,3178,506
2020-05-26,Extremadura,3191,507
2020-05-27,Extremadura,3194,508
2020-05-28,Extremadura,3197,508
2020-05-29,Extremadura,3198,509
2020-05-30,Extremadura,3200,510
2020-05-31,Extremadura,3200,510
2020-06-01,Extremadura,3204,510
2020-06-02,Extremadura,3206,511
2020-06-03,Extremadura,3206,512
2020-06-04,Extremadura,3210,512
2020-06-05,Extremadura,3211,512
2020-06-06,Extremadura,3211,512
2020-06-07,Extremadura,3211,512
2020-06-08,Extremadura,3212,512
2020-06-09,Extremadura,3216,512
2020-06-10,Extremadura,3217,513
2020-06-11,Extremadura,3219,513
2020-06-12,Extremadura,3220,513
2020-06-13,Extremadura,3222,513
2020-06-14,Extremadura,3222,513
2020-06-15,Extremadura,3225,513
2020-06-16,Extremadura,3226,513
