date,Andalucía,Aragón,Asturias,Baleares,C. Valenciana,Canarias,Cantabria,Castilla La Mancha,Castilla y León,Cataluña,Ceuta,Extremadura,Galicia,La Rioja,Madrid,Melilla,Murcia,Navarra,No consta,País Vasco
2020-10-16,98343,41157,7909,16285,52150,15554,7725,58514,63435,174694,991,14190,26283,10301,289869,1746,27741,25065,10236,56516
2020-10-17,100804,41684,8188,16401,53100,15683,7880,58923,64616,176643,1024,14503,26788,10423,290594,1797,28445,25496,10347,57321
2020-10-18,102038,42129,8443,16489,53510,15786,7928,59367,65274,178152,1036,14735,27201,10519,291134,1878,28778,26042,10456,58011
2020-10-19,104668,42816,8653,16646,54325,15902,8021,60111,66319,182128,1071,14956,27551,10659,293691,1943,29240,26646,10578,58705
2020-10-20,108352,43694,8839,16839,55611,16048,8178,61048,67773,187868,1098,15372,28050,10847,296570,1999,29964,27080,10730,59600
2020-10-21,112844,44677,9110,17030,57162,16185,8391,62053,69550,193973,1147,15709,28475,11096,299357,2083,30708,27717,10871,60672
2020-10-22,117394,45773,9433,17280,58668,16337,8505,63104,71553,200186,1215,16143,29034,11288,301824,2165,31553,28215,11039,61942
2020-10-23,122036,46954,9817,17488,60514,16417,8687,64334,73627,205972,1250,16634,29784,11502,304674,2302,32573,28726,11198,63204
2020-10-24,125165,47920,10121,17654,61773,16533,8861,65108,74859,208602,1312,17112,30381,11629,305329,2403,33339,29462,11305,64268
2020-10-25,126809,48622,10368,17767,62514,16576,9025,65781,75763,210716,1340,17499,31013,11741,305851,2464,33929,29981,11377,65261
2020-10-26,130336,49561,10611,18012,63801,16662,9157,66702,76896,216142,1377,18001,31570,11882,308245,2547,34538,30591,11479,66305
2020-10-27,134789,50648,10957,18274,65580,16763,9329,67851,78846,222043,1436,18432,32324,12063,310991,2636,35514,31132,11600,67540
2020-10-28,139779,51693,11365,18526,67480,16905,9527,69134,80805,227610,1510,18948,32983,12299,313370,2729,36412,31714,11733,68857
2020-10-29,144694,52785,11809,18772,69383,17010,9706,70245,83073,232534,1592,19489,33674,12486,315662,2819,37303,32370,11893,70276
2020-10-30,149609,53885,12227,19014,71328,17124,9872,71289,85127,237687,1688,20037,34492,12718,318330,2947,38325,32971,12022,71837
2020-10-31,152732,54800,12516,19194,72853,17260,10067,72024,86820,240255,1724,20441,35309,12880,318954,3049,39112,33417,12150,73025
2020-11-01,154797,55480,12710,19337,73668,17377,10214,72510,87707,241879,1757,20822,35867,12976,319486,3121,39647,33950,12234,74025
2020-11-02,156505,56086,12956,19514,75202,17436,10430,73389,88665,246970,1831,21174,36343,13090,320037,3176,40299,34402,12359,75211
2020-11-03,160389,56905,13247,19803,77205,17568,10667,74405,89917,252180,1912,21541,36984,13303,322585,3247,41407,34755,12498,76649
2020-11-04,165109,57952,13683,20050,79447,17725,10823,75562,91899,256696,1997,22095,37767,13598,325303,3293,42358,35192,12671,78138
2020-11-05,169823,58880,14269,20323,81719,17895,11131,76594,93872,260926,2075,22692,38525,13843,327575,3352,43398,35546,12816,79700
2020-11-06,174814,59898,14827,20443,83891,18069,11353,77711,96000,264955,2165,23196,39179,14077,330068,3404,44462,35882,12957,81165
2020-11-07,177988,60624,15119,20778,85638,18254,11533,78277,97596,266627,2203,23503,39723,14196,330708,3432,45304,36139,13035,82428
2020-11-08,179872,60990,15589,20912,86618,18351,11769,78698,98702,267612,2231,23798,40129,14298,331200,3449,45695,36328,13096,83612
2020-11-09,183602,61625,15884,21116,88035,18422,11990,79446,99829,271093,2289,24149,40587,14416,332374,3490,46538,36563,13185,84878
2020-11-10,187952,62391,16406,21352,89874,18549,12243,80398,101651,274812,2355,24566,41063,14584,334525,3540,47445,36824,13288,86311
2020-11-11,192339,63062,17019,21538,92162,18676,12502,81347,103225,277802,2401,25028,41639,14768,336527,3594,48323,37076,13417,87718
2020-11-12,196590,63659,17694,21764,94052,18792,12729,82162,105212,280448,2447,25359,42329,14938,338468,3619,49062,37310,13558,89169
2020-11-13,200728,64214,18502,21995,96034,18967,12933,83065,106744,282957,2480,25616,42987,15129,340551,3642,49691,37530,13663,90379
2020-11-14,203015,64548,18944,22149,97382,19071,13126,83621,107867,284005,2500,25867,43405,15216,340994,3695,50149,37681,13757,91409
2020-11-15,204374,64798,19188,22294,98142,19136,13257,83862,108475,284600,2507,25970,43911,15278,341338,3713,50418,37824,13801,92191
2020-11-16,206825,65169,19479,22522,99235,19204,13495,84511,109402,287180,2547,26170,44370,15356,342928,3738,50856,37972,13868,93090
2020-11-17,210176,65614,19878,22709,100945,19355,13771,85180,110909,289664,2592,26430,44936,15509,344796,3767,51375,38132,13980,94104
2020-11-18,213359,66123,20336,22890,102702,19473,14006,85807,112224,291658,2635,26654,45591,15639,346424,3815,51867,38272,14053,95120
2020-11-19,216258,66491,20661,23083,104298,19591,14169,86463,113304,293387,2662,26912,46302,15747,347818,3849,52237,38443,14124,96050
2020-11-20,218983,66843,21018,23216,105920,19723,14337,87014,114194,295111,2698,27097,46868,15864,349524,3893,52549,38582,14187,96887
2020-11-21,220560,67089,21340,23361,106934,19839,14488,87306,114827,295705,2710,27262,47290,15935,349932,3915,52838,38668,14242,97509
2020-11-22,221342,67219,21589,23495,107529,19913,14572,87524,115229,296111,2721,27334,47668,16012,350223,3921,52920,38785,14272,97990
2020-11-23,222807,67437,21809,23656,108507,20040,14707,88014,115854,297839,2745,27512,48058,16064,351531,3949,53168,38938,14309,98589
2020-11-24,224940,67752,22209,23836,109904,20187,14835,88534,116557,299440,2761,27714,48487,16176,353068,3983,53445,39045,14349,99276
2020-11-25,226783,68039,22471,24008,111234,20320,14954,89037,117192,300916,2775,27914,48941,16270,354476,3998,53728,39187,14389,99894
2020-11-26,228517,68357,22760,24250,112432,20434,15053,89452,117914,302253,2785,28181,49399,16335,355756,4018,53991,39351,14435,100498
2020-11-27,230347,68646,23027,24415,113509,20557,15182,89904,118596,303785,2805,28321,49795,16458,357428,4044,54239,39458,14467,101126
2020-11-28,231288,68915,23171,24614,114350,20691,15269,90201,118904,304397,2812,28393,50137,16524,357829,4056,54406,39529,14494,101628
2020-11-29,231754,69055,23358,24738,114760,20770,15360,90348,119114,304788,2815,28438,50393,16580,358074,4061,54450,39615,14512,102037
2020-11-30,232734,69257,23513,24901,115537,20875,15464,90754,119540,306333,2825,28586,50704,16614,359392,4085,54628,39693,14532,102496
2020-12-01,234161,69616,23758,25116,116738,21061,15662,91255,120092,307817,2839,28757,51086,16700,360947,4107,54877,39770,14561,103059
2020-12-02,235490,69910,23988,25336,117910,21269,15781,91772,120463,309224,2848,28932,51446,16746,362411,4138,55104,39889,14591,103649
2020-12-03,236674,70160,24222,25605,119039,21422,15932,92244,120912,310446,2857,29093,51801,16787,363750,4147,55258,39971,14615,104127
2020-12-04,237908,70381,24422,25844,120218,21643,16060,92789,121353,311674,2860,29240,52127,16841,365195,4165,55478,40078,14641,104584
2020-12-05,238691,70540,24653,26018,120995,21831,16188,93025,121561,312179,2876,29349,52448,16889,365586,4168,55648,40150,14661,105011
2020-12-06,239111,70660,24771,26206,121460,21921,16246,93136,121766,312546,2884,29431,52688,16937,365917,4174,55671,40236,14664,105324
2020-12-07,239570,70777,24875,26402,122142,22089,16319,93477,121959,314025,2884,29501,52960,16951,366440,4183,55782,40303,14689,105664
2020-12-08,239961,70884,24983,26623,122708,22193,16407,93764,122115,314476,2885,29571,53316,17007,366891,4190,55846,40391,14713,106119
2020-12-09,240839,71060,25113,26929,123706,22389,16450,94208,122450,316382,2898,29718,53575,17036,368702,4216,56062,40483,14739,106528
2020-12-10,242135,71357,25243,27258,125450,22627,16556,94801,122929,318135,2909,29912,53985,17091,370893,4241,56286,40596,14767,107091
2020-12-11,243484,71642,25420,27586,127255,22820,16631,95389,123332,319977,2925,30147,54343,17182,373500,4255,56541,40701,14797,107681
2020-12-12,244305,71826,25516,27947,128734,23150,16686,95731,123555,320759,2931,30303,54735,17217,374124,4261,56699,40796,14815,108117
2020-12-13,244719,71962,25661,28160,129446,23282,16767,95968,123691,321368,2933,30429,55055,17245,374600,4262,56779,40864,14820,108444
2020-12-14,245634,72152,25790,28550,131074,23404,16838,96459,123988,323648,2950,30703,55351,17284,376620,4288,56990,40972,14839,108843
2020-12-15,246973,72395,25907,29028,133136,23715,16922,97133,124401,325876,2957,31042,55789,17335,379093,4320,57172,41068,14866,109440
2020-12-16,248143,72607,26006,29595,135457,23940,16999,97798,124738,327933,2963,31388,56239,17384,381507,4342,57382,41194,14896,109831
2020-12-17,249245,72769,26100,30132,137572,24223,17074,98368,125037,329971,2970,31682,56664,17460,383650,4369,57580,41259,14915,110295
2020-12-18,250419,72991,26197,30707,139962,24432,17145,99087,125358,332228,2973,32061,57084,17512,386184,4372,57793,41358,14957,110742
2020-12-19,251096,73150,26258,31120,141769,24676,17177,99441,125548,333268,2974,32306,57370,17600,386956,4376,57949,41430,14984,111049
2020-12-20,251430,73246,26330,31474,142663,24799,17228,99660,125631,333984,2976,32485,57647,17629,387528,4379,57983,41486,15005,111321
